id	importance	Feature ID	Taxon	Fruitbody_type_template	primary_lifestyle
SH1085902.10FU_AB018043_refs	0.0311838266421345	SH1085902.10FU_AB018043_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	none	nectar/tap_saprotroph
SH1085949.10FU_MH307931_reps	0.0245137979042229	SH1085949.10FU_MH307931_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	none	nectar/tap_saprotroph
SH1382505.10FU_EF567995_refs	0.0243038821530515	SH1382505.10FU_EF567995_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	none	nectar/tap_saprotroph
SH1273273.10FU_AY015438_refs	0.0226364229264287	SH1273273.10FU_AY015438_refs	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus	none	mycoparasite
SH1242810.10FU_JN942657_refs	0.0223307067206662	SH1242810.10FU_JN942657_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Debaryomyces;s__Debaryomyces_prosopidis	none	nectar/tap_saprotroph
SH1207325.10FU_HQ442338_refs	0.020701969184814	SH1207325.10FU_HQ442338_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_carneum	not reported	unspecified_saprotroph
SH1335104.10FU_EF679363_refs	0.0204436205959393	SH1335104.10FU_EF679363_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum	perithecium_(hymenium_hidden,_narrow_opening)	litter_saprotroph
SH1357621.10FU_JN206324_refs	0.0195547547853705	SH1357621.10FU_JN206324_refs	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Rhizopodaceae;g__Rhizopus;s__Rhizopus_arrhizus	none	soil_saprotroph
SH1396252.10FU_MK405865_reps	0.0193933371532106	SH1396252.10FU_MK405865_reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp		
SH1070243.10FU_JN205919_refs	0.017400778922122	SH1070243.10FU_JN205919_refs	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae;g__Mucor;s__Mucor_racemosus	none	soil_saprotroph
SH1254640.10FU_LT605097_reps	0.0138841011701869	SH1254640.10FU_LT605097_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_humilis	none	nectar/tap_saprotroph
SH1303769.10FU_KY430562_reps	0.013369800732781	SH1303769.10FU_KY430562_reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_sp	not reported	soil_saprotroph
SH1223718.10FU_MK385642_reps	0.0131770926593947	SH1223718.10FU_MK385642_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_polonicum	not reported	unspecified_saprotroph
SH1382014.10FU_AY743636_refs	0.0129548386149782	SH1382014.10FU_AY743636_refs	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_restricta	none	soil_saprotroph
SH1338892.10FU_KJ707068_reps	0.0126817294925055	SH1338892.10FU_KJ707068_reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Naganishia;s__Naganishia_diffluens	none	unspecified_saprotroph
SH1189575.10FU_GU291271_refs	0.0123311015536812	SH1189575.10FU_GU291271_refs	k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia;s__Malassezia_globosa	none	soil_saprotroph
SH1307173.10FU_FJ629352_refs	0.0121189412497118	SH1307173.10FU_FJ629352_refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_piperis	not reported	unspecified_saprotroph
SH1262703.10FU_KM032304_reps	0.0114631658956609	SH1262703.10FU_KM032304_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	not reported	unspecified_saprotroph
SH1254641.10FU_MN913450_reps	0.0110159829815359	SH1254641.10FU_MN913450_reps	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_humilis	none	nectar/tap_saprotroph
SH1338873.10FU_KX515119_reps	0.0105140337435266	SH1338873.10FU_KX515119_reps	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellomycetes_ord_Incertae_sedis;f__Tremellomycetes_fam_Incertae_sedis;g__Tremellomycetes_gen_Incertae_sedis;s__Tremellomycetes_sp		
